domain_id,cath_class,architecture,topology,homology,n_residues,pdb_id
1d7pM00,2,60,120,260,159,1d7p
1d8bA00,1,10,150,80,81,1d8b
1d8jA00,1,10,10,10,81,1d8j
1d9sA00,1,25,40,20,136,1d9s
1dceA02,2,60,40,1130,103,1dce
1dd3A01,1,20,5,710,57,1dd3
1dd5A02,3,30,1360,40,75,1dd5
1dd9A03,1,20,50,20,59,1dd9
1dgfA01,4,10,91,20,64,1dgf
1dglA00,2,60,120,200,237,1dgl
1dgnA00,1,10,533,10,89,1dgn
1dgsA04,2,40,50,140,73,1dgs
1dgsA05,1,10,150,20,69,1dgs
1dgwX00,2,60,120,1450,76,1dgw
1dh3A00,1,20,5,170,55,1dh3
1divA02,3,10,430,100,90,1div
1dj8A00,1,10,890,10,79,1dj8
1djqA01,3,20,20,70,384,1djq
1djxB01,1,10,238,10,52,1djx
1dk5B01,1,10,220,10,83,1dk5
1dk8A02,1,10,167,10,85,1dk8
1dkgB02,2,30,22,10,57,1dkg
1dkiA02,3,30,910,30,145,1dki
1dkyB02,1,20,1270,10,68,1dky
1dl5A01,3,40,50,150,201,1dl5
1dljA03,1,10,1040,10,90,1dlj
1dm9A00,3,10,290,10,104,1dm9
1dmuA00,3,40,600,20,299,1dmu
1dmxA00,3,10,200,10,237,1dmx
1dmzA00,2,60,200,20,158,1dmz
1dofA03,1,10,40,30,56,1dof
1dp7P00,1,10,10,10,76,1dp7
1dpbA00,3,30,559,10,243,1dpb
1dpgA02,3,30,360,10,309,1dpg
1dqaD01,1,10,3270,10,60,1dqa
1dqcA00,2,170,140,10,73,1dqc
1dqgA00,2,80,10,50,134,1dqg
1ds1A00,3,60,130,10,323,1ds1
1ds8M02,1,20,85,10,158,1ds8
1dsxA00,3,30,710,10,87,1dsx
1dtdB00,3,30,1040,10,61,1dtd
1dtoA01,1,10,287,30,102,1dto
1du5A00,2,60,110,10,206,1du5
1dv5A00,1,10,1200,10,80,1dv5
1dw0A00,1,10,760,10,112,1dw0
1dwnA00,3,30,380,10,127,1dwn
1dx9A00,3,40,50,360,168,1dx9
1dy2A00,3,10,100,10,168,1dy2
1dzfA02,3,90,940,20,73,1dzf
1dzwP00,3,40,225,10,206,1dzw
1e0bA00,2,40,50,40,61,1e0b
1e1gA00,1,10,790,10,104,1e1g
1e20A00,3,40,50,1950,185,1e20
1e2rA02,2,140,10,20,432,1e2r
1e2wA02,2,40,50,100,60,1e2w
1e3gA00,1,10,565,10,250,1e3g
1e53A00,3,30,40,10,59,1e53
1e57B00,2,60,120,20,183,1e57
1e5tA02,2,130,10,120,353,1e5t
1e5wA04,1,20,5,450,55,1e5w
1e6dM01,1,20,85,10,143,1e6d
1e6vA03,1,20,840,10,230,1e6v
1e6vC00,3,90,320,20,248,1e6v
1e7lA02,1,10,720,10,55,1e7l
1e7pC00,1,20,1300,10,254,1e7p
1e7uA04,3,30,1010,10,158,1e7u
1e8gA04,1,10,45,10,53,1e8g
1e8rA00,2,30,32,30,50,1e8r
1e8uA00,2,120,10,10,446,1e8u
1e94E03,1,10,8,60,106,1e94
1e9rA02,1,10,8,80,113,1e9r
1ea0A02,3,20,20,70,358,1ea0
1ea0B04,2,160,20,60,267,1ea0
1eakA01,1,10,101,10,63,1eak
1eb4A02,1,20,200,10,312,1eb4
1eb6A00,3,40,390,10,177,1eb6
1ebfA02,3,30,360,10,175,1ebf
1ecmA00,1,20,59,10,91,1ecm
1ecsA00,3,10,180,10,120,1ecs
1edgA00,3,20,20,80,380,1edg
1edqA03,3,10,50,10,76,1edq
1eerA00,1,20,1250,10,166,1eer
1efdN01,3,40,50,1980,91,1efd
1efpA01,3,40,50,1220,126,1efp
1efpB00,3,40,50,620,246,1efp
1efyA01,1,20,142,10,136,1efy
1efyA02,3,90,228,10,213,1efy
1eg3A04,1,10,238,10,82,1eg3
1ehbA00,3,10,120,10,82,1ehb
1ehiA03,3,30,1490,20,68,1ehi
1ehwA00,3,30,70,141,143,1ehw
1ei5A02,2,40,128,50,82,1ei5
1ei6A02,3,30,1360,110,111,1ei6
1ej5A00,3,90,810,10,107,1ej5
1ej6A01,3,90,1810,10,384,1ej6
1ej6A05,2,60,40,10,95,1ej6
1ej8A00,2,60,40,200,140,1ej8
1ek4A01,3,40,47,10,254,1ek4
1el6A01,1,10,286,30,52,1el6
1eluA02,3,40,640,10,264,1elu
1em7A00,3,10,20,10,56,1em7
1encA00,2,40,50,90,135,1enc
1eo0A00,1,20,930,10,77,1eo0
1eokA00,3,20,20,80,282,1eok
1eovA02,3,30,930,10,353,1eov
1eptB00,2,40,10,10,82,1ept
1epwA01,3,90,1240,10,438,1epw
1eq6A00,3,40,1000,10,189,1eq6
1escA00,3,40,50,1110,302,1esc
1espA01,3,10,170,10,150,1esp
1eswA00,3,20,20,80,500,1esw
1etb200,2,60,40,180,117,1etb
1eteA00,1,20,1250,10,134,1ete
1ethA01,3,40,50,1820,338,1eth
1eu3A02,2,40,50,110,80,1eu3
1euaA00,3,20,20,70,213,1eua
1euvA02,3,30,310,130,105,1euv
1ev0A00,3,30,1070,10,58,1ev0
1evlA01,3,30,930,10,289,1evl
1ex0A03,2,60,40,10,114,1ex0
1ex7A01,3,30,63,10,60,1ex7
1ex9A00,3,40,50,1820,285,1ex9
1eysH02,3,90,50,10,140,1eys
1eysL01,1,20,85,10,171,1eys
1eysL02,1,20,85,10,100,1eys
1eyuA00,3,40,210,10,156,1eyu
1ezgA00,2,160,20,50,82,1ezg
1ezjA01,1,10,287,320,62,1ezj
1ezjA02,1,10,287,340,52,1ezj
1ezvC00,1,20,810,10,385,1ezv
1f00I02,2,60,40,1080,89,1f00
1f02T00,4,10,820,10,66,1f02
1f06A02,3,30,360,10,138,1f06
1f08B00,3,40,1310,10,145,1f08
1f0xA03,3,30,465,10,163,1f0x
1f0xA04,3,30,1370,20,85,1f0x
1f1dA00,2,60,40,200,153,1f1d
1f1sA01,2,70,98,10,275,1f1s
1f3mA00,3,90,810,10,70,1f3m
1f3vA00,3,30,70,680,158,1f3v
1f46B00,3,30,1400,10,140,1f46
1f4sP00,4,10,240,10,65,1f4s
1f52A01,3,30,590,10,353,1f52
1f53A00,2,60,20,30,84,1f53
1f59A00,1,25,10,10,440,1f59
1f60B00,3,30,70,60,90,1f60
1f7uA02,1,10,730,10,125,1f7u
1f7uA03,3,30,1360,70,134,1f7u
1f8vC00,2,60,120,20,311,1f8v
1f8yA00,3,40,50,450,156,1f8y
1fb1A01,1,10,286,10,60,1fb1
1fcdA03,3,90,760,10,74,1fcd
1ff9A03,1,10,1870,10,100,1ff9
1ffsB00,3,30,70,400,68,1ffs
1fftB01,1,10,287,90,87,1fft
1ffvB03,3,30,365,10,166,1ffv
1ffvC03,3,30,465,10,114,1ffv
1fguB01,2,40,50,140,105,1fgu
1fgxA00,3,90,550,10,272,1fgx
1fhfA02,1,10,420,10,144,1fhf
1fhoA00,2,30,29,30,119,1fho
1fi2A00,2,60,120,10,201,1fi2
1fiuA00,3,40,50,10010,286,1fiu
1fjkA00,1,20,5,290,52,1fjk
1fjrA02,2,170,180,11,125,1fjr
1fl0A00,2,40,50,140,164,1fl0
1fl7D00,2,10,90,10,106,1fl7
1floA01,3,30,300,80,105,1flo
1fmjA00,3,40,50,300,342,1fmj
1fmtB01,3,40,50,170,201,1fmt
1fmzA00,2,80,10,50,179,1fmz
1fo1B00,3,80,10,10,163,1fo1
1fobA00,3,20,20,80,334,1fob
1fod100,2,60,120,20,210,1fod
1fohA03,3,40,30,20,209,1foh
1fokA02,1,10,10,10,87,1fok
1fp3A00,1,50,10,10,402,1fp3
1fpzC00,3,90,190,10,178,1fpz
1fr3A00,2,40,50,100,67,1fr3
1frmA00,3,30,70,20,106,1frm
1fs0E01,2,60,15,10,88,1fs0
1ft0B00,2,70,50,30,138,1ft0
1ft9A02,1,10,10,10,79,1ft9
1fuiA03,3,20,14,10,251,1fui
1furA03,1,10,40,30,52,1fur
1fwxA01,2,130,10,10,467,1fwx
1fx0B03,1,10,1140,10,111,1fx0
1fx3B00,3,10,420,10,149,1fx3
1fx7B03,2,30,30,90,80,1fx7
1fzrA00,3,40,91,30,129,1fzr
1fzvA00,2,10,90,10,100,1fzv
1g01A00,3,20,20,80,357,1g01
1g0hA01,3,30,540,10,137,1g0h
1g12A00,3,40,390,10,167,1g12
1g1eB00,1,20,1160,11,89,1g1e
1g1xB00,1,10,287,10,88,1g1x
1g2rA00,3,30,1230,10,94,1g2r
1g31A00,2,30,33,40,107,1g31
1g4dA00,1,10,10,10,69,1g4d
1g4fA00,2,10,70,10,86,1g4f
1g4wR02,3,90,190,10,221,1g4w
1g5aA03,3,90,400,10,72,1g5a
1g61A00,3,75,10,10,225,1g61
1g6q102,2,70,160,11,184,1g6q
1g6sA02,3,65,10,10,204,1g6s
1g71A02,1,10,8,160,108,1g71
1g7uA00,3,20,20,70,284,1g7u
1g86A00,2,60,120,200,141,1g86
1g8fA03,3,40,50,300,122,1g8f
1g8kA04,2,40,40,20,135,1g8k
1g8kC01,2,60,40,4210,116,1g8k
1g8qA00,1,10,1450,10,90,1g8q
1ga3A00,1,20,1250,10,113,1ga3
1gakA00,1,20,150,10,137,1gak
1gaxA04,3,30,1170,10,50,1gax
1gaxA05,1,10,287,380,73,1gax
1gccA00,3,30,730,10,63,1gcc
1gcyA02,2,60,40,1180,56,1gcy
1gd2F00,1,20,5,170,64,1gd2
1gdjA00,1,10,490,10,153,1gdj
1gerA02,3,50,50,60,118,1ger
1ggpA02,4,10,470,10,85,1ggp
1ggqA00,1,20,120,240,162,1ggq
1gh9A00,3,90,820,10,71,1gh9
1ghsA00,3,20,20,80,306,1ghs
1gikA01,3,40,420,10,177,1gik
1gjsA00,1,10,8,40,65,1gjs
1gjzA00,3,10,20,90,53,1gjz
1gk9B03,1,10,1400,10,161,1gk9
1gkgA02,2,10,70,10,69,1gkg
1gkuB04,3,30,56,120,73,1gku
1gm5A01,1,20,120,630,95,1gm5
1gmeA00,2,60,40,790,150,1gme
1gmjD00,1,20,5,500,56,1gmj
1gnlA01,1,20,1270,20,139,1gnl
1gnlA03,3,40,50,2030,151,1gnl
1gntA02,1,20,1270,20,84,1gnt
1gnyA00,2,60,120,260,153,1gny
1go4A00,3,30,900,10,196,1go4
1gofA02,2,130,10,80,388,1gof
1gotG00,4,10,260,10,58,1got
1gpjA01,3,30,460,30,145,1gpj
1gprA00,2,70,70,10,158,1gpr
1gq4A00,2,30,42,10,90,1gq4
1gq6B00,3,40,800,10,301,1gq6
1gqiA02,3,20,20,80,320,1gqi
1gqoB00,3,40,50,9100,143,1gqo
1grjA01,1,10,287,180,74,1grj
1gsaA03,3,30,1490,20,65,1gsa
1gt6A00,3,40,50,1820,269,1gt6
1gt7A00,3,40,225,10,274,1gt7
1gteA04,3,50,50,60,153,1gte
1gtvA00,3,40,50,300,208,1gtv
1gu2A00,1,10,760,10,124,1gu2
1guxB00,1,10,472,10,141,1gux
1gvhA01,1,10,490,10,148,1gvh
1gwcA02,1,20,1050,10,141,1gwc
1gwyA00,2,60,270,20,175,1gwy
1gxcA00,2,60,200,20,116,1gxc
1gxeA00,2,60,40,10,130,1gxe
1gxlA02,3,30,70,1620,86,1gxl
1gxmB00,1,50,10,20,332,1gxm
1gxsA00,3,40,50,1820,267,1gxs
1gxtA00,3,30,70,100,88,1gxt
1gxyA00,3,90,176,10,223,1gxy
1gy1A00,2,60,40,420,154,1gy1
1gytL01,3,40,220,10,180,1gyt
1gytL02,3,40,630,10,318,1gyt
1gyxA01,3,30,429,10,64,1gyx
1gyzA00,1,10,1900,20,60,1gyz
1gz1A00,3,20,20,40,362,1gz1
1gzeA00,3,90,176,10,207,1gze
1h09A01,3,20,20,80,187,1h09
1h0hA04,2,40,40,20,176,1h0h
1h12A00,1,50,10,10,404,1h12
1h19A02,3,30,2010,30,97,1h19
1h2uA01,1,25,40,180,262,1h2u
1h3eA03,3,10,290,10,76,1h3e
1h3zA00,2,30,30,140,108,1h3z
1h4eA00,3,90,550,10,188,1h4e
1h4gA00,2,60,120,180,205,1h4g
1h4yA00,3,30,750,24,115,1h4y
1h54A02,1,50,10,10,367,1h54
1h54B01,2,70,98,40,269,1h54
1h67A00,1,10,418,10,108,1h67
1h6wA03,3,90,1340,10,67,1h6w
1h7zA00,2,60,90,10,191,1h7z
1h8mA00,3,30,450,50,140,1h8m
1h8uB00,3,10,100,10,116,1h8u
1h9eA00,1,10,720,40,56,1h9e
1h9fA00,1,10,720,40,57,1h9f
1ha8A00,1,10,10,190,51,1ha8
1hbkA00,1,20,80,10,89,1hbk
1hbwA00,1,20,5,170,57,1hbw
1hciA03,1,20,58,60,120,1hci
1hciA04,1,20,58,60,114,1hci
1hcnA00,2,10,90,10,85,1hcn
1hcrA00,1,10,10,60,52,1hcr
1hdrA00,3,40,50,720,236,1hdr
1hezE00,3,10,20,10,61,1hez
1hf2A02,2,160,20,70,106,1hf2
1hh2P04,3,30,300,20,68,1hh2
1hi7A00,4,10,110,10,60,1hi7
1hjrA00,3,30,420,10,158,1hjr
1hk5A03,1,10,246,10,92,1hk5
1hkvA02,3,20,20,10,261,1hkv
1hluP00,3,30,450,30,139,1hlu
1hlvA02,1,10,10,60,60,1hlv
1hm7B00,1,10,600,10,305,1hm7
1hn0A02,1,50,10,100,384,1hn0
1hn0A03,2,70,98,10,281,1hn0
1hn0A04,2,60,220,10,122,1hn0
1hnfA02,2,60,40,10,79,1hnf
1ho8A02,1,25,40,150,112,1ho8
1hp1A01,3,60,21,10,328,1hp1
1hp8A00,1,10,287,1130,68,1hp8
1hpgA02,2,40,10,10,99,1hpg
1hq0A00,3,60,100,10,295,1hq0
1hq6B00,3,50,20,10,228,1hq6
1hqmD05,3,90,105,10,75,1hqm
1hqz800,3,40,20,10,132,1hqz
1hsjB03,1,10,10,10,86,1hsj
1hskA03,3,90,78,10,88,1hsk
1ht6A02,2,60,40,1180,57,1ht6
1htlA00,3,90,210,10,185,1htl
1htwA00,3,40,50,300,158,1htw
1hufA00,3,30,1570,10,123,1huf
1hvxA02,2,40,30,140,104,1hvx
1hw7A02,1,10,287,480,50,1hw7
1hwzA03,3,40,50,720,295,1hwz
1hx2A00,2,10,25,10,60,1hx2
1hxnA00,2,110,10,10,210,1hxn
1hyoA01,2,30,30,230,113,1hyo
1hypA00,1,10,110,10,75,1hyp
1hysB04,3,30,70,270,105,1hys
1hzmA00,3,40,250,10,154,1hzm
1hzoA00,3,40,710,10,264,1hzo
1i19A01,3,30,43,10,76,1i19
1i1aC01,2,60,40,10,99,1i1a
1i1iP02,3,40,390,10,151,1i1i
1i2nA00,3,20,20,70,316,1i2n
1i2tA00,1,10,1900,10,61,1i2t
1i4wA01,3,40,50,150,247,1i4w
1i51A00,3,40,50,1460,139,1i51
1i58A00,3,30,565,10,189,1i58
1i5gA00,3,40,30,10,144,1i5g
1i5pA02,1,20,190,10,234,1i5p
1i5pA03,2,100,10,10,198,1i5p
1i5xA00,1,10,287,210,61,1i5x
1i7xB00,0,0,0,0,0,1i7x
1i82A00,2,60,40,1190,189,1i82
1i8lC00,2,60,40,10,118,1i8l
1i9dA00,3,40,30,10,138,1i9d
1ia5A00,2,160,20,10,339,1ia5
1iakA01,3,10,320,10,80,1iak
1iapA00,1,10,167,10,190,1iap
1ib8A01,3,30,300,70,83,1ib8
1ib8A02,2,30,30,180,67,1ib8
1ibcB00,3,30,70,1470,88,1ibc
1ibxB00,3,10,20,10,89,1ibx
1ic8A02,1,10,10,60,74,1ic8
1icfI00,4,10,800,10,65,1icf
1id1A00,3,40,50,720,153,1id1
1id3B00,1,10,20,10,79,1id3
1iduA02,1,10,606,10,400,1idu
1if1B00,1,10,10,10,104,1if1
1ig0A01,3,40,50,10240,187,1ig0
1igqB00,2,30,30,150,57,1igq
1igrA02,2,10,220,10,76,1igr
1ihvA00,2,30,30,10,52,1ihv
1iicA01,3,40,630,30,173,1iic
1iicA02,3,40,630,30,248,1iic
1iieA00,1,10,870,10,75,1iie
1ij5A03,1,10,238,10,131,1ij5
1ik7A00,1,20,5,530,52,1ik7
1ileA03,1,10,730,10,191,1ile
1iloA00,3,40,30,10,77,1ilo
1im3D00,2,60,40,1200,95,1im3
1imjA00,3,40,50,1820,208,1imj
1imoA00,3,40,50,10190,88,1imo
1in0A02,3,30,70,990,92,1in0
1in4A03,1,10,8,60,75,1in4
1inlC02,2,30,140,10,64,1inl
1io1A03,2,30,220,10,95,1io1
1iojA00,4,10,260,30,57,1ioj
1iooA00,3,90,730,10,196,1ioo
1iq0A03,1,10,730,10,116,1iq0
1iq8A02,3,90,1020,10,70,1iq8
1iq8A03,3,10,450,90,74,1iq8
1iqoA00,3,30,160,120,88,1iqo
1irmC00,1,20,910,10,196,1irm
1irzA00,1,10,10,60,64,1irz
1isuA00,4,10,490,10,62,1isu
1iu1B00,2,60,40,1230,123,1iu1
1iucA00,2,120,10,70,312,1iuc
1iufA02,1,10,10,60,64,1iuf
1iv8A05,2,60,40,1180,66,1iv8
1ivtA00,2,60,40,1260,122,1ivt
1iw7N06,1,10,132,30,141,1iw7
1iweA03,3,90,170,10,160,1iwe
1iwmA00,2,50,20,10,177,1iwm
1iwpB00,3,40,50,10150,184,1iwp
1iwpG02,1,10,1510,20,93,1iwp
1iyhB02,1,20,1050,10,108,1iyh
1iyjB04,2,40,50,140,138,1iyj
1iyuA00,2,40,50,100,79,1iyu
1iz6A02,2,40,50,140,64,1iz6
1izcA00,3,20,20,60,299,1izc
1j0tA00,1,10,2010,10,78,1j0t
1j1tA00,2,60,120,200,228,1j1t
1j27A00,3,30,70,1120,98,1j27
1j2nA00,1,10,150,220,99,1j2n
1j2rA00,3,40,50,850,188,1j2r
1j2zA02,1,20,1180,10,67,1j2z
1j47A00,1,10,30,10,85,1j47
1j4nA00,1,20,1080,10,249,1j4n
